A Adair                          , COPART INC
Howard Robin                     , NEKTAR THERAPEUTICS
Hubert Joly                      , BEST BUY CO INC
Hugh Grant                       , MONSANTO CO
Ian Cook                         , COLGATE-PALMOLIVE CO
Ian Read                         , PFIZER INC
Ilene Gordon                     , INGREDION INC
Indra Nooyi MPPM                 , PEPSICO INC
Inge Thulin                      , 3M CO
Irene Rosenfeld                  , MONDELEZ INTERNATIONAL INC
Irene Dorner                     , HSBC USA INC
Irwin Simon                      , HAIN CELESTIAL GROUP INC
Ivor Evans                       , MERITOR INC
J Harrison III                   , COCA-COLA BTLNG CONS
J Gallagher Jr                   , ARTHUR J GALLAGHER & CO
J Hudson                         , SONIC CORP
J Ness LLIF                      , STANCORP FINANCIAL GROUP INC
J Sikkel                         , ALLIANCE ONE INTL INC
J Burgess                        , AEGION  CORP
J Coleman                        , UNISYS CORP
J Raines                         , GAMESTOP CORP
J Brown CPCU                     , BROWN & BROWN INC
J Douglas                        , COMPUTER PROGRAMS & SYSTEMS
J Gilligan BA                    , CAPELLA EDUCATION CO
J Cooney                         , INTERNAP CORP
J Pearson                        , ORION MARINE GROUP INC
J Di Valerio                     , OUTERWALL INC
J Craft PE                       , APPROACH RESOURCES INC
J Doyle                          , DOMINO'S PIZZA INC
Jack Golsen                      , LSB INDUSTRIES INC
Jack Moore                       , CAMERON INTERNATIONAL CORP
Jack Hockema                     , KAISER ALUMINUM CORP
Jack Kopnisky                    , STERLING BANCORP
Jack Howard                      , HANDY & HARMAN LTD
Jack Howard                      , STEEL EXCEL INC
Jack Khattar                     , SUPERNUS PHARMACEUTICALS INC
Jae Whan Yoo                     , WILSHIRE BANCORP INC
James Tisch                      , LOEWS CORP
James Schwartz                   , NPC RESTAURANT HOLDINGS LLC
James Hagedorn                   , SCOTTS MIRACLE-GRO CO
James Kennedy CFA                , PRICE T ROWE GROUP
James McManus II                 , ENERGEN CORP
James Boldt                      , COMPUTER TASK GROUP INC
James Truchard PhD               , NATIONAL INSTRUMENTS CORP
James Smith                      , WEBSTER FINANCIAL CORP
James Donahue                    , COHU INC
James O'Brien                    , ASHLAND INC
James Wainscott                  , AK STEEL HOLDING CORP
James Peterson                   , MICROSEMI CORP
James Murren                     , MGM RESORTS INTERNATIONAL
James Foster JD                  , CHARLES RIVER LABS INTL INC
James Heppelmann                 , PTC INC
James Ryan                       , GRAINGER W W INC
James Welch                      , YRC WORLDWIDE INC
James Metcalf                    , USG CORP
James Robo                       , NEXTERA ENERGY INC
James Cashman III                , ANSYS INC
James Dimon                      , JPMORGAN CHASE & CO
James Roberts                    , GRANITE CONSTRUCTION INC
James Craigie                    , CHURCH & DWIGHT INC
James Edmiston                   , HARVEST NATURAL RESOURCES
James Gober                      , INFINITY PROPERTY & CAS CORP
James Torgesrson                 , UIL HOLDINGS CORP
James Green                      , ANALOGIC CORP
James Taiclet Jr                 , AMERICAN TOWER CORP
James Ross                       , SWS GROUP INC
James Hawkins                    , NATUS MEDICAL INC
James Cracchiolo                 , AMERIPRISE FINANCIAL INC
James DeCosmo                    , FORESTAR GROUP INC
James Cleary Jr                  , MWI VETERINARY SUPPLY
James Meyer                      , SIRIUS XM HOLDINGS INC
James Herbert II                 , FIRST REPUBLIC BANK
James Owens                      , FULLER H B CO
James Moroney III                , A H BELO CORP
James Whitehurst                 , RED HAT INC
James Hyde                       , NTELOS HOLDINGS CORP
James Gorman                     , MORGAN STANLEY
James O'Neil III                 , QUANTA SERVICES INC
James Dolan                      , CABLEVISION SYS CORP  -CL A
James Connor                     , TECUMSEH PRODUCTS CO
James Reid-Anderson              , SIX FLAGS ENTERTAINMENT CORP
James Prokopanko                 , MOSAIC CO
James Heistand                   , PARKWAY PROPERTIES INC
James Verrier                    , BORGWARNER INC
James Dennedy                    , AGILYSYS INC
James Lillie                     , JARDEN CORP
James Craddock                   , ROSETTA RESOURCES INC
James Gallogly                   , LYONDELLBASELL INDUSTRIES NV
James Brear                      , PROCERA NETWORKS INC
James Rollins III                , BANCORPSOUTH INC
James Hughes                     , FIRST SOLAR INC
James Pope CFA                   , SWK HOLDINGS CORP
James Chambers                   , WEIGHT WATCHERS INTL INC
James Francis                    , CHESAPEAKE LODGING TRUST
James Schoeneck                  , DEPOMED INC
James Price                      , EXAMWORKS GROUP INC
Jamie Sokalsky BComm C           , BARRICK GOLD CORP
Jane Elfers                      , CHILDRENS PLACE INC
Jason Lippert                    , DREW INDUSTRIES INC
Jason Rhode PhD                  , CIRRUS LOGIC INC
Jay Stein                        , STEIN MART INC
Jay Fishman                      , TRAVELERS COS INC
Jay Gellert                      , HEALTH NET INC
Jay Schottenstein                , AMERN EAGLE OUTFITTERS INC
Jay Grinney                      , HEALTHSOUTH CORP
Jay Sugarman                     , ISTAR INC
Jay Freeland                     , FARO TECHNOLOGIES INC
Jay Luly PhD                     , ENANTA PHARMACEUTICALS INC
Jean Madar                       , INTER PARFUMS INC
Jeff Fettig                      , WHIRLPOOL CORP
Jeff Stevens                     , WESTERN REFINING INC
Jeffery Yabuki                   , FISERV INC
Jeffery Gardner                  , WINDSTREAM HOLDINGS INC
Jeffery Smisek                   , UNITED CONTINENTAL HLDGS INC
Jeffrey Lorberbaum               , MOHAWK INDUSTRIES INC
Jeffrey Bezos                    , AMAZONCOM INC
Jeffrey Mezger                   , KB HOME
Jeffrey Smulyan JD               , EMMIS COMMUNICATIONS CP-CL A
Jeffrey Immelt                   , GENERAL ELECTRIC CO
Jeffrey Weiss                    , AMERICAN GREETINGS  -CL A
Jeffrey Bewkes                   , TIME WARNER INC
Jeffrey Shaw                     , SOUTHWEST GAS CORP
Jeffrey Ettinger                 , HORMEL FOODS CORP
Jeffrey Platt                    , TIDEWATER INC
Jeffrey Olson                    , EQUITY ONE INC
Jeffrey Sprecher                 , INTERCONTINENTAL EXCHANGE
Jeffrey Davis                    , PERFICIENT INC
Jeffrey Ventura                  , RANGE RESOURCES CORP
Jeffrey Katzenberg               , DREAMWORKS ANIMATION INC
Jeffrey Benck                    , EMULEX CORP
Jeffrey Gordon                   , SYNIVERSE HOLDINGS INC
Jeffrey Storey                   , LEVEL 3 COMMUNICATIONS INC
Jeffrey Maggioncalda             , FINANCIAL ENGINES INC
Jeffrey Nagel                    , NBTY INC
Jeffrey Leiden MD PhD            , VERTEX PHARMACEUTICALS INC
Jeffrey Bradley                  , GLOBE SPECIALTY METALS INC
Jeffrey Graves PhD               , MTS SYSTEMS CORP
Jeffrey Berg CFA                 , NTN BUZZTIME INC
Jeffrey Friedman                 , ASSOCIATED ESTATES RLTY CORP
Jeffrey Niew                     , KNOWLES CORP
Jeffrey Slovin                   , SIRONA DENTAL SYSTEMS INC
Jeffrey Feeler CPA               , US ECOLOGY INC
Jeffrey Yordon                   , SAGENT PHARMACEUTICALS INC
Jeffrey Clarke                   , EASTMAN KODAK CO
Jeffrey Musser                   , EXPEDITORS INTL WASH INC
Jeffry Rosenthal                 , HIBBETT SPORTS INC
Jeffry Frisby                    , TRIUMPH GROUP INC
Jen-Hsun Huang                   , NVIDIA CORP
Jerome Peribere                  , SEALED AIR CORP
Jerry Atkin                      , SKYWEST INC
Jimmy Tallent                    , UNITED COMMUNITY BANKS INC
Joe Sanderson Jr                 , SANDERSON FARMS INC
Joe Raver                        , HILLENBRAND INC
Joe Kiani                        , MASIMO CORP
Joel Marcus JD CPA               , ALEXANDRIA R E EQUITIES INC
Joel Hawthorne                   , GRAFTECH INTERNATIONAL LTD
Joey Agree                       , AGREE REALTY CORP
John Hess                        , HESS CORP
John Luke Jr                     , MEADWESTVACO CORP
John McConnell                   , WORTHINGTON INDUSTRIES
John Chambers                    , CISCO SYSTEMS INC
John Gerlach Jr                  , LANCASTER COLONY CORP
John Wren                        , OMNICOM GROUP
John Derham Cato                 , CATO CORP  -CL A
John Johns                       , PROTECTIVE LIFE CORP
John Sztykiel                    , SPARTAN MOTORS INC
John Conway Jr                   , CROWN HOLDINGS INC
John Hammergren                  , MCKESSON CORP
John Ambroseo PhD                , COHERENT INC
John Ramil                       , TECO ENERGY INC
John Schnatter                   , PAPA JOHNS INTERNATIONAL INC
John Martin PhD                  , GILEAD SCIENCES INC
John Wiehoff                     , C H ROBINSON WORLDWIDE INC
John Fan                         , KOPIN CORP
John Daane                       , ALTERA CORP
John Donahue                     , FEDERATED INVESTORS INC
John Standley                    , RITE AID CORP
John Eaves                       , ARCH COAL INC
John Murray                      , HOSPITALITY PROPERTIES TRUST
John Kilroy Jr                   , KILROY REALTY CORP
John Lechleiter PhD              , LILLY ELI & CO
John Gilbertson                  , AVX CORP
John Faraci                      , INTL PAPER CO
John Remondi                     , NAVIENT CORP
John Watson                      , CHEVRON CORP
John Strangfeld Jr               , PRUDENTIAL FINANCIAL INC
John Stumpf                      , WELLS FARGO & CO
John Finnegan                    , CHUBB CORP
John Prim                        , HENRY JACK & ASSOCIATES
John Haley                       , TOWERS WATSON & CO
John Ferriola                    , NUCOR CORP
John Orr                         , MYERS INDUSTRIES INC
John Richels                     , DEVON ENERGY CORP
John McGlade                     , AIR PRODUCTS & CHEMICALS INC
John Bryant                      , KELLOGG CO
John Koraleski                   , UNION PACIFIC CORP
John Lundgren                    , STANLEY BLACK & DECKER INC
John Russell                     , CMS ENERGY CORP
John McAdam                      , F5 NETWORKS INC
John Walsh Jr                    , UGI CORP
John Donahoe II                  , EBAY INC
John Stroup                      , BELDEN INC
John Krauetler                   , MERIDIAN BIOSCIENCE INC
John Lindsay                     , HELMERICH & PAYNE
John Brock III                   , COCA-COLA ENTERPRISES INC
John Bilbrey                     , HERSHEY CO
John Hayes                       , BALL CORP
John Somerhalder II              , AGL RESOURCES INC
John Gremp                       , FMC TECHNOLOGIES INC
John Farahi                      , MONARCH CASINO & RESORT INC
John Kite                        , KITE REALTY GROUP TRUST
John Marr Jr                     , TYLER TECHNOLOGIES INC
John Peeler                      , VEECO INSTRUMENTS INC
John Kemper                      , UMB FINANCIAL CORP
John Morgan                      , ZEP INC
John Scannell                    , MOOG INC  -CL A
John Hill III                    , CALPINE CORP
John McLaughlin JD               , PDL BIOPHARMA INC
John Young                       , ENERGY FUTURE HOLDINGS CORP
John Van Heel                    , MONRO MUFFLER BRAKE INC
John O'Donnell                   , NEENAH PAPER INC
John Barnes                      , PEOPLE'S UNITED FINL INC
John Greisch                     , HILL-ROM HOLDINGS INC
John Dean Jr                     , CENTRAL PACIFIC FINANCIAL CP
John Case                        , REALTY INCOME CORP
John Thain                       , CIT GROUP INC
John Calamos Sr                  , CALAMOS ASSET MANAGEMENT INC
John Williams BA                 , DOMTAR CORP
John Hewitt                      , MATRIX SERVICE CO
John Craig                       , ENERSYS INC
John Roberts III                 , HUNT JB TRANSPRT SVCS INC
John Varian                      , XOMA CORP
John Miller                      , DENNYS CORP
John Lawrie                      , COMPUTER SCIENCES CORP
John Hellmann                    , GENESEE & WYOMING INC  -CL A
John Addison Jr                  , PRIMERICA INC
John Chisholm                    , FLOTEK INDUSTRIES INC
John Boucher                     , MODUSLINK GLOBAL SOLUTIONS
John Chamberlain                 , AMERICAN ASSETS TRUST INC
John Philpin                     , LYRIS INC
John Ranelli                     , CENTRAL GARDEN & PET CO
John Higgins                     , LIGAND PHARMACEUTICAL INC
John Idol                        , MICHAEL KORS HOLDINGS LTD
John McAvoy                      , CONSOLIDATED EDISON INC
John Charman                     , ENDURANCE SPECIALTY HOLDINGS
John Matovina                    , AMERICAN EQTY INVT LIFE HLDG
John Bardis                      , MEDASSETS INC
John Forney CFA                  , UNITED INSURANCE HOLDINGS CO
John Chiminski                   , CATALENT INC
John Alexander                   , NORTHFIELD BANCORP INC
Jon Kirchner                     , DTS INC
Jon Kessler                      , HEALTHEQUITY INC
Jonas Prising                    , MANPOWERGROUP
Jonathan Michael                 , RLI CORP
Jonathan Ayers                   , IDEXX LABS INC
Jonathan Gacek                   , QUANTUM CORP
Jonathan Baliff                  , BRISTOW GROUP INC
Jonathan Steinberg JD            , WISDOMTREE INVESTMENTS INC
Jordan Kaplan                    , DOUGLAS EMMETT INC
Jose Mas                         , MASTEC INC
Jose Almeida                     , COVIDIEN PLC
Jose Fernandez                   , OFG BANCORP
Josef von Rickenbach             , PAREXEL INTERNATIONAL CORP
Joseph Ficalora                  , NEW YORK CMNTY BANCORP INC
Joseph Corasanti Esq             , CONMED CORP
Joseph Rupp                      , OLIN CORP
Joseph Brown Jr                  , MBIA INC
Joseph Dunsmore                  , DIGI INTERNATIONAL INC
Joseph Tucci                     , EMC CORP/MA
Joseph Sullivan                  , LEGG MASON INC
Joseph Rigby                     , PEPCO HOLDINGS INC
Joseph Morone PhD                , ALBANY INTL CORP  -CL A
Joseph Hooley                    , STATE STREET CORP
Joseph Scaminace                 , OM GROUP INC
Joseph Russell Jr                , PS BUSINESS PARKS
Joseph Bartolacci                , MATTHEWS INTL CORP  -CL A
Joseph Gorder                    , VALERO ENERGY CORP
Joseph Molina MD                 , MOLINA HEALTHCARE INC
Joseph Coradino                  , PENNSYLVANIA RE INVS TRUST
Joseph Papa                      , PERRIGO CO PLC
Joseph Gingo                     , SCHULMAN A INC
Joseph Liu                       , OPLINK COMMUNICATIONS INC
Joseph Alvarado                  , COMMERCIAL METALS
Joseph Clayton CPA               , DISH NETWORK CORP
Joseph Puishys                   , APOGEE ENTERPRISES INC
Joseph Woody                     , KINETIC CONCEPTS INC
Joseph Jackson                   , WAGEWORKS INC
Joseph Swedish                   , ANTHEM INC
Joseph Ripp                      , TIME INC
Joseph Yorio                     , SCHOOL SPECIALTY INC
Joseph Eazor                     , EARTHLINK HOLDINGS CORP
Joshua Collins                   , BLOUNT INTL INC
Joshua Sapan                     , AMC NETWORKS INC
Joshua Comstock                  , C&J ENERGY SERVICES LTD
Juan Alaix                       , ZOETIS INC
Judy McReynolds                  , ARCBEST CORP
Julia Stewart                    , DINEEQUITY INC
Julie Howard                     , NAVIGANT CONSULTING INC
Julien Mininberg                 , HELEN OF TROY LTD
Julio Quintana                   , TESCO CORP
Jure Sola                        , SANMINA CORP
Karen Katz                       , NEIMAN MARCUS GROUP INC
Karen Colonias                   , SIMPSON MANUFACTURING INC
Karl McDonnell                   , STRAYER EDUCATION INC
Katherine Krill                  , ANN INC
Keh-Shew Lu PhD                  , DIODES INC
Keith Walters                    , ENNIS INC
Keith Nosbusch                   , ROCKWELL AUTOMATION
Keith Smith                      , BOYD GAMING CORP
Keith Murdoch AC                 , TWENTY-FIRST CENTURY FOX INC
Keith Myers                      , LHC GROUP INC
Keith Wandell                    , HARLEY-DAVIDSON INC
Keith Allman                     , MASCO CORP
Kelly King                       , BB&T CORP
Kelly Conway                     , MATTERSIGHT CORP
Ken Xie                          , FORTINET INC
Kendall Powell                   , GENERAL MILLS INC
Kenneth Chenault                 , AMERICAN EXPRESS CO
Kenneth Bernstein JD             , ACADIA REALTY TRUST
Kenneth Frazier                  , MERCK & CO
Kenneth McBride                  , STAMPSCOM INC
Kenneth Lowe                     , SCRIPPS NETWORKS INTERACTIVE
Kenneth Tuchman                  , TELETECH HOLDINGS INC
Kenneth Hicks                    , FOOT LOCKER INC
Kenneth Lamneck                  , INSIGHT ENTERPRISES INC
Kenneth Asbury                   , CACI INTL INC  -CL A
Kenneth Vecchione                , ENCORE CAPITAL GROUP INC
Kenneth Esterow                  , BANKRATE INC
Kent Thiry                       , DAVITA HEALTHCARE PARTNERS
Kent Guichard                    , AMERICAN WOODMARK CORP
Kessel Stelling Jr               , SYNOVUS FINANCIAL CORP
Kevin McNamara                   , CHEMED CORP
Kevin Mansell                    , KOHL'S CORP
Kevin Marsh                      , SCANA CORP
Kevin McMullen                   , OMNOVA SOLUTIONS INC
Kevin Kabat                      , FIFTH THIRD BANCORP
Kevin Modany                     , ITT EDUCATIONAL SERVICES INC
Kevin Knight                     , KNIGHT TRANSPORTATION INC
Kevin Plank                      , UNDER ARMOUR INC
Kevin Murai                      , SYNNEX CORP
Kevin Crutchfield                , ALPHA NATURAL RESOURCES INC
Kevin Fogarty                    , KRATON PERFORMANCE POLYMERS
Kevin Lynch                      , ORITANI FINANCIAL CORP
Kevin Lobo                       , STRYKER CORP
Kevin Thompson                   , SOLARWINDS INC
Kevin Kennedy PhD                , AVAYA INC
Kevin Hanigan                    , LEGACY TEX FINANCIAL GRP INC
Kevin O'Donnell                  , RENAISSANCERE HOLDINGS LTD
Kevin Kim                        , BBCN BANCORP INC
Kieran Gallahue                  , CAREFUSION CORP
Kieran O'Sullivan                , CTS CORP
Kim Cocklin                      , ATMOS ENERGY CORP
Kimberly McWaters                , UNIVERSAL TECHNICAL INST
Kimberly Harris                  , PUGET ENERGY INC
Kimberly Lubel                   , CST BRANDS INC
Kirk Benson                      , HEADWATERS INC
Kirk Meche                       , GULF ISLAND FABRICATION INC
Klaus-Christian Kleinfeld PhD re , ALCOA INC
Kosta Kartsotis                  , FOSSIL GROUP INC
Kraig Kayser                     , SENECA FOODS CORP
Krishan Canekeratne              , VIRTUSA CORP
Kurt Darrow                      , LA-Z-BOY INC
Lamberto Andreotti               , BRISTOL-MYERS SQUIBB CO
Larry Mizel                      , MDC HOLDINGS INC
Larry Merlo                      , CVS HEALTH CORP
Larry Pinkston                   , UNIT CORP
Larry Zimpleman                  , PRINCIPAL FINANCIAL GRP INC
Larry Hutchison                  , TORCHMARK CORP
Larry Nicholson                  , RYLAND GROUP INC
Larry Richman                    , PRIVATEBANCORP INC
Larry Young                      , DR PEPPER SNAPPLE GROUP INC
Laura Alber                      , WILLIAMS-SONOMA INC
Lauralee Martin                  , HCP INC
Laurence Downes                  , NEW JERSEY RESOURCES CORP
Laurence Fink                    , BLACKROCK INC
Lawrence Sills                   , STANDARD MOTOR PRODS
Lawrence Page                    , GOOGLE INC
Lawrence Gellerstedt III         , COUSINS PROPERTIES INC
Lawrence Kingsley                , PALL CORP
Lecil Cole                       , CALAVO GROWERS INC
Lee Boothby                      , NEWFIELD EXPLORATION CO
Lee Schram                       , DELUXE CORP
Lee Tillman                      , MARATHON OIL CORP
Leo Denault                      , ENTERGY CORP
Leonard Schleifer MD Ph          , REGENERON PHARMACEUTICALS
Leonard Comma                    , JACK IN THE BOX INC
Leonard Bell MD                  , ALEXION PHARMACEUTICALS INC
LeRoy Carlson Jr                 , TELEPHONE & DATA SYSTEMS INC
Lesa Kennedy                     , INTL SPEEDWAY CORP  -CL A
Leslie Wexner                    , L BRANDS INC
Leslie Moonves II                , CBS CORP
Lew Frankfort                    , COACH INC
Linda Massman                    , CLEARWATER PAPER CORP
Lip-Bu Tan                       , CADENCE DESIGN SYSTEMS INC
Lisa Hook                        , NEUSTAR INC
Lloyd Blankfein                  , GOLDMAN SACHS GROUP INC
Lloyd Carney                     , BROCADE COMMUNICATIONS SYS
Lothar Maier                     , LINEAR TECHNOLOGY CORP
Louis Chenevert                  , UNITED TECHNOLOGIES CORP
Louis DiNardo                    , EXAR CORP
Louis Hernandez Jr               , AVID TECHNOLOGY INC
Lowell McAdam                    , VERIZON COMMUNICATIONS INC
LuAnn Via                        , CHRISTOPHER & BANKS CORP
Ludwig Hantson PhD               , BAXALTA INC
Luther Kissam IV                 , ALBEMARLE CORP
Lynn Good                        , DUKE ENERGY CORP
M Kathwari                       , ETHAN ALLEN INTERIORS INC
M McEvoy                         , OCEANEERING INTERNATIONAL
M Sanders                        , SONOCO PRODUCTS CO
M Turner                         , PINNACLE FINL PARTNERS INC
Malon Wilkus                     , AMERICAN CAPITAL LTD
Manuel Perez de la Mesa          , POOL CORP
Marc Casper                      , THERMO FISHER SCIENTIFIC INC
Marc Benioff                     , SALESFORCECOM INC
Marc Grodman MD                  , BIO REFERENCE LABS
Marc Holliday                    , SL GREEN REALTY CORP
Marc Lautenbach                  , PITNEY BOWES INC
Marc Edwards                     , DIAMOND OFFSHRE DRILLING INC
Marc Sheinbaum                   , HIGHER ONE HOLDINGS INC
Marcelo Claure                   , SPRINT CORP
Margaret Whitman                 , HEWLETT-PACKARD CO
Marillyn Hewson                  , LOCKHEED MARTIN CORP
Mario Longhi                     , UNITED STATES STEEL CORP
Marissa Mayer                    , YAHOO INC
Marita Zuraitis                  , HORACE MANN EDUCATORS CORP
Mark Parker                      , NIKE INC  -CL B
Mark Donegan                     , PRECISION CASTPARTS CORP
Mark Templeton                   , CITRIX SYSTEMS INC
Mark Millett                     , STEEL DYNAMICS INC
Mark Dankberg                    , VIASAT INC
Mark Mondello                    , JABIL CIRCUIT INC
Mark Kowlzan                     , PACKAGING CORP OF AMERICA
Mark Goldstein                   , ACTUANT CORP  -CL A
Mark Ruelle                      , WESTAR ENERGY INC
Mark DeYoung                     , ORBITAL ATK INC
Mark Gliebe                      , REGAL BELOIT CORP
Mark Thompson                    , FAIRCHILD SEMICONDUCTOR INTL
Mark Jagiela                     , TERADYNE INC
Mark Blinn                       , FLOWSERVE CORP
Mark Zalatoris CPA               , INLAND REAL ESTATE CORP
Mark Bertolini                   , AETNA INC
Mark Costa                       , EASTMAN CHEMICAL CO
Mark O'Neil                      , DEALERTRACK TECHNOLOGIES INC
Mark Brugger JD                  , DIAMONDROCK HOSPITALITY CO
Mark Aslett                      , MERCURY SYSTEMS INC
Mark Tryniski                    , COMMUNITY BANK SYSTEM INC
Mark Lucas                       , IMATION CORP
Mark Comerford                   , HAYNES INTERNATIONAL INC
Mark Sarvary                     , TEMPUR SEALY INTL INC
Mark Grescovich                  , BANNER CORP
Mark Thompson                    , NEW YORK TIMES CO  -CL A
Mark Breitbard                   , GYMBOREE CORP
Mark Trudeau                     , MALLINCKRODT PLC
Mark Zuckerberg                  , FACEBOOK INC
Mark DiBlasi                     , ROADRUNNER TRANS SVCS HLDGS
Mark Ordan                       , WP GLIMCHER INC
Mark Gibson                      , HFF INC
Mark Dunkerley                   , HAWAIIAN HOLDINGS INC
Mark DeYoung                     , VISTA OUTDOOR INC
Mark Vergnano                    , CHEMOURS CO THE
Martin Singer PhD                , PCTEL INC
Martin Richenhagen               , AGCO CORP
Martin Stein Jr                  , REGENCY CENTERS CORP
Martin Anstice                   , LAM RESEARCH CORP
Martin Flanagan CFA CPA          , INVESCO LTD
Martin Roper                     , BOSTON BEER INC  -CL A
Martin Craighead                 , BAKER HUGHES INC
Martin Barrington                , ALTRIA GROUP INC
Martin Dietrich                  , N B T BANCORP INC
Martine Rothblatt PhD MB         , UNITED THERAPEUTICS CORP
Marvin Chronister BA             , BONANZA CREEK ENERGY INC
Mary Junck                       , LEE ENTERPRISES INC
Mary Puma                        , AXCELIS TECHNOLOGIES INC
Mary Wilderotter                 , FRONTIER COMMUNICATIONS CORP
Mary Barra                       , GENERAL MOTORS CO
Mary Laschinger                  , VERITIV CORP
Maryjo Cohen                     , NATIONAL PRESTO INDS INC
Matthew Cox                      , MATSON INC
Matthew Missad CPA               , UNIVERSAL FOREST PRODS INC
Matthew Morris                   , STEWART INFORMATION SERVICES
Matthew Simoncini                , LEAR CORP
Matthew Wagner                   , PACWEST BANCORP
Matthew Mannelly                 , PRESTIGE BRANDS HOLDINGS
Matthew Desch                    , IRIDIUM COMMUNICATIONS INC
Maurice Taylor Jr                , TITAN INTERNATIONAL INC
Maurice Gallagher Jr             , ALLEGIANT TRAVEL CO
Max Mitchell                     , CRANE CO
Melanie Dressel                  , COLUMBIA BANKING SYSTEM INC
Melissa Smith                    , WEX INC
Menderes Akdag                   , PETMED EXPRESS INC
Michael Kowalski                 , TIFFANY & CO
Michael Jeffries                 , ABERCROMBIE & FITCH  -CL A
Michael Hoffman                  , TORO CO
Michael Saylor                   , MICROSTRATEGY INC
Michael Strianese                , L-3 COMMUNICATIONS HLDGS INC
Michael Jackson                  , AUTONATION INC
Michael Mussallem                , EDWARDS LIFESCIENCES CORP
Michael Thaman                   , OWENS CORNING
Michael Ward                     , CSX CORP
Michael Barry                    , QUAKER CHEMICAL CORP
Michael Long                     , ARROW ELECTRONICS INC
Michael Scudder                  , FIRST MIDWEST BANCORP INC
Michael McAndrew                 , BLACK BOX CORP
Michael Schall CPA               , ESSEX PROPERTY TRUST
Michael Kneeland                 , UNITED RENTALS INC
Michael Lamach                   , INGERSOLL-RAND PLC
Michael Gerdin                   , HEARTLAND EXPRESS INC
Michael Kasbar                   , WORLD FUEL SERVICES CORP
Michael Roth                     , INTERPUBLIC GROUP OF COS
Michael Price                    , PLATINUM UNDERWRITERS HLDG
Michael Blodnick                 , GLACIER BANCORP INC
Michael Molinini                 , AIRGAS INC
Michael Fifer                    , STURM RUGER & CO INC
Michael Covey                    , POTLATCH CORP
Michael Bless                    , CENTURY ALUMINUM CO
Michael Anderson                 , ANDERSONS INC
Michael Odell                    , PEP BOYS-MANNY MOE & JACK
Michael Barnello                 , LASALLE HOTEL PROPERTIES
Michael Koehler                  , TERADATA CORP
Michael Neidorff                 , CENTENE CORP
Michael Rapino                   , LIVE NATION ENTERTAINMENT
Michael Siegal                   , OLYMPIC STEEL INC
Michael Baur                     , SCANSOURCE INC
Michael McGavick                 , XL GROUP PLC
Michael O'Donnell                , RUTHS HOSPITALITY GROUP INC
Michael Burke                    , AECOM INC
Michael Casey                    , CARTER'S INC
Michael Prior                    , ATLANTIC TELE-NETWORK INC
Michael Moore                    , GULFPORT ENERGY CORP
Michael Hsing                    , MONOLITHIC POWER SYSTEMS INC
Michael Hilton                   , NORDSON CORP
Michael Simon                    , LOGMEIN INC
Michael Corbat                   , CITIGROUP INC
Michael White                    , DIRECTV
Michael Reger                    , NORTHERN OIL & GAS INC
Michael Barnes                   , SIGNET JEWELERS LTD
Michael Jennings                 , HOLLYFRONTIER CORP
Michael Arnold                   , RYERSON HOLDING CORP
Michael Polk                     , NEWELL RUBBERMAID INC
Michael Mahoney                  , BOSTON SCIENTIFIC CORP
Michael MacDonald                , MEDIFAST INC
Michael Durney                   , DHI GROUP INC
Michael Lucas                    , POWELL INDUSTRIES INC
Michael Minogue                  , ABIOMED INC
Michael Decata                   , LAWSON PRODUCTS
Michael Glazer                   , STAGE STORES INC
Michael Gregoire                 , CA INC
Michael Davin                    , CYNOSURE INC
Michael Burdiek                  , CALAMP CORP
Michael Farrell                  , RESMED INC
Michael McMullen                 , STILLWATER MINING CO
Michael Steib                    , XO GROUP INC
Michael Brown                    , SYMANTEC CORP
Michael Burandt                  , WAUSAU PAPER CORP
Michael Isaacs                   , SCIENTIFIC GAMES CORP
Michael Boustridge               , CIBER INC
Michael Gianoni                  , BLACKBAUD INC
Michael Weiss                    , EXPRESS INC
Miles White                      , ABBOTT LABORATORIES
Miles Allison                    , COMSTOCK RESOURCES INC
Millard Drexler                  , J CREW GROUP INC
Mindy Grossman                   , HSN INC
Mitchell Hersh                   , MACK-CALI REALTY CORP
Mitchell Krebs                   , COEUR MINING INC
Mitchell Feiger                  , MB FINANCIAL INC/MD
Mogens Bay                       , VALMONT INDUSTRIES INC
Mohan Maheswaran                 , SEMTECH CORP
Monte Redman                     , ASTORIA FINANCIAL CORP
Montgomery Moran                 , CHIPOTLE MEXICAN GRILL INC
Morris Goldfarb                  , G-III APPAREL GROUP LTD
Morris Young PhD                 , AXT INC
Moshe Gavrielov                  , XILINX INC
Muhtar Kent                      , COCA-COLA CO
Murray Kessler                   , LORILLARD INC
Myron Ullman III                 , PENNEY J C CO
N Linebarger                     , CUMMINS INC
Nancy Taylor                     , TREDEGAR CORP
Naren Gursahaney                 , ADT CORP
Neal Patterson                   , CERNER CORP
Neal Keating                     , KAMAN CORP
Necip Sayiner                    , INTERSIL CORP  -CL A
Nehemia Zucker                   , J2 GLOBAL INC
Neil Cole                        , ICONIX BRAND GROUP INC
Neil Hammer                      , COMMVAULT SYSTEMS INC
Neil Nguyen                      , SIZMEK INC
Neil Schrimsher                  , APPLIED INDUSTRIAL TECH INC
Neill Davis                      , FRANCESCAS HOLDINGS CORP
Nicholas DeBenedictis            , AQUA AMERICA INC
